ID,tip,train_start,train_end,test_start,test_end,var_name,epochs,batch_size,context_length,prediction_length,wavelet_var_list,wavelet,NRMSE,ND,RMSE,MSE,MAPE,MASE,sMAPE,MSIS
20231212183338_,有FEAT_STATIC_CAT：行情8+db1(7),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg",db1,0.095,0.0248,7.7194,59.5894,0.0216,0.7679,0.0216,5.587
20231212174954_,有FEAT_STATIC_CAT：行情9+db1(7),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg",db1,0.0693,0.0216,5.6306,31.7038,0.0211,0.7118,0.0211,5.2112
20231212170547_,有FEAT_STATIC_CAT：行情9+db1(9),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg,vol,amount",db1,0.1052,0.0174,24.3851,594.6308,0.009,0.699,0.009,5.4526
20231212162131_,有FEAT_STATIC_CAT：行情9+db1(8),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",db1,0.0571,0.0198,4.641,21.5387,0.0209,0.749,0.0211,6.6038
20231212153650_,有FEAT_STATIC_CAT：行情9,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0577,0.0188,4.6897,21.9931,0.0189,0.6316,0.0189,4.5704
20231212145252_,有FEAT_STATIC_CAT：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0457,0.0178,3.7147,13.7992,0.019,0.6503,0.0188,4.8912
20231212121053_,无FEAT_STATIC_CAT：行情8+db1(无量价+close),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,close,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,close,pre_close,change,pct_chg",db1,0.012,0.0042,2.7891,7.7788,0.0075,0.601,0.0075,4.3269
20231212112717_,无FEAT_STATIC_CAT：行情8+db1(无量价),2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg",db1,0.1473,0.0389,11.9701,143.2824,0.0227,0.7771,0.0224,6.0347
20231212104345_,无FEAT_STATIC_CAT：行情8+db1,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",db1,0.1161,0.0328,9.4399,89.1114,0.0216,0.7426,0.0214,5.6698
20231212100019_,无FEAT_STATIC_CAT：行情8,2020-01-05,2023-06-02,2023-05-08,2023-06-02,"open,high,low,pre_close,change,pct_chg,vol,amount",20,64,20,5,"open,high,low,pre_close,change,pct_chg,vol,amount",0,0.0931,0.0279,7.5663,57.2488,0.0206,0.6913,0.0203,5.4965
